,kiwerUsername,clientId,restaurantId,restaurant.location.lat,restaurant.location.lng,location.lat,location.lng,rating,created,courierArrived,pickedUp,botLoaded,waitingForClient,closed
3009,carlos,5ba18475ae5c0b0004302e93,5963ce3e8f904b0004b3f6c4,37.870018,-122.268605,37.8643357,-122.2504175,5.0,1548287002244,1548289723381,1548289731127,1548289745352,1548289837956,1548289915321
3010,carlos,5ad291dfad0c9b00045b911b,5963ce3e8f904b0004b3f6c4,37.870018,-122.268605,37.86206750000001,-122.26494140625,5.0,1548286667753,1548286989310,1548290483062,1548290496719,1548290825780,1548291012863
3011,carlos,5770e1c8d9ecde0003e4b7c6,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8745133,-122.2644572,,1548285271492,1548286800992,1548286843195,1548286989451,1548287851168,1548287934285
3012,carlos,59fe5e221656940004766157,5963ce3e8f904b0004b3f6c4,37.870018,-122.268605,37.8681918,-122.25335260000001,5.0,1548285268158,1548286451337,1548286478255,1548290470430,1548290946076,1548291061672
3013,juanbenitez,5b877115a053d7000478e01f,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8642305,-122.26357200000001,1.0,1548282964213,1548283507114,1548283884707,1548283938850,1548285236791,1548285425665
3014,carlos,5b8f4584a519ef0004db0316,58a6615b4432ee00048187d3,37.872342,-122.268696,37.864826,-122.25419799999999,,1548282266150,1548282999113,1548283620069,1548285295317,1548289597689,1548289702110
3015,juanbenitez,5a702e8a4914f800040e6564,58e857f4e70d7d0004bc41fb,37.8671,-122.258745,37.8668189,-122.2523001,5.0,1548281111216,1548281431478,1548281448936,1548281814109,1548284614111,1548284767705
3016,carlos,5b75eae5b2718000048c9d2f,58a6615b4432ee00048187d3,37.872342,-122.268696,37.867990999999996,-122.26952360000001,5.0,1548276968346,1548283649086,1548283990649,1548284016641,1548288591184,1548288753569
3017,juanbenitez,59fe5e221656940004766157,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8681918,-122.25335260000001,1.0,1548280552431,1548282326221,1548282416480,1548282897968,1548283949956,1548284000754
3018,juanbenitez,5b10daaea0136b0004df29be,58e857f4e70d7d0004bc41fb,37.8671,-122.258745,37.8700322,-122.25798879999999,5.0,1548280416057,1548281384659,1548281409461,1548281704344,1548282817127,1548282930139
3019,valeria,5ba2f6b083411b000428d31b,59b748bf56778d00043665fe,37.867973,-122.258093,37.870019,-122.26861299999999,5.0,1548280193130,1548280798847,1548281234017,1548282136669,1548282940563,1548283371074
3020,estefania,5c1ed3de02afa5000400f3c7,57f337b847030d0003357669,37.868349,-122.258907,37.8747703,-122.2676651,5.0,1548279610011,1548280475491,1548280716658,1548281450125,None,1548281557453
3021,valeria,5b78658c176ef70004b8234d,58a6615b4432ee00048187d3,37.872342,-122.268696,37.8753451,-122.258727,,1548274939653,1548282914226,1548283533094,1548284684763,1548285541272,1548285588352
3022,carlos,5bc8e6086b53a30004e6b706,58a6615b4432ee00048187d3,37.872342,-122.268696,37.8680333,-122.2505878,,1548270011626,1548282844158,1548283181875,1548285271853,1548289201053,1548289333659
